3 150 596 3 537 4444 54 0 24 402 364 707 283 110 2 445 507 12 359 675 2 4118 6219 54 0 248 4031 1 0 43 24 10 296 11 22 2008 4 43 3 6 3678 31 7 12 3724 8 150 30 11 94 116 124 195 39 753 36 169 79 15 132 4 789 54 0 137 200 248 380 15 1758 124 80 283 14 3 72 16 24 1 3 66 102 8 73 2 338 180 4 85 13 0 17 1855 46 374 487 1 17 1855 84 118 5614 83 11 78 5816 248 719 38 2 483 44 1013 1855 111 3365 111 3313 111 8722 0 248 17 108 32 7 1203 0 88 14 3 1670 12 359 10 164 400 138 4 492 2 2931 5 487 27 11 3 61 0 267 248 26 205 548 58 7371 172 604 4562 515 178 33 369 939 63 20 847 122 0 771 1 8916 1569 150 160 4 96 41 0 627 181	5
88 995 4 49 4 2913 23 4398 1 3444 17 472 457 1174 185 15 45 247 1004 5 1060 41 5 0 600 11 17 472 1 43 338 734 5 0 284 216 262 1060 970 7 256 0 510 5 283 59 693 13 59 2127 35 195 2 3993 656 17 117 594 262 970 175 9818 276 9 109 18 2 1201 119 92 3065 1 97 170 1379 5 216 0 170 848 5 0 1060 63 28 718 1004 9 246 11 150 1896 1 2 529 5 1408 0 875 127 41 4 54 2 74 110 8915 638 229 485 17 19 6734 1487 317 168 6 39 353 82 111 22 2167 145 1 17 131 12 152 32 255 2359 3 153 233 15 134 10 2266 35 36 9 46 457 1174 18 44 21 1132 90 33 29 1 3 69 30 64	5
109 42 1276 13 0 4272 1 359 16 24 7 0 338 1284 1766 763 785 20 480 11 8 6 0 4701 3593 42 18 489 9 336 10 1975 1070 1296 23 668 613 0 589 185 15 107 59 184 20 415 13 0 957 1408 518 672 1 3 807 0 5890 95 13 1299 209 544 1436 22 55 387 201 13 2866 11 6 40 210 359 22 0 786 3332 13 6248 3 373 168 1 38 0 29 6 133 32 28 68 40 730 1 614 204 1 216 1829 32 7 58 1547 114 11 3372 1268 6695 31 80 31 55 209 386 32 7 140 2 74 678 10 0 64 2325 369 1103 820 47 3709 3084 1103 820 1092 31 80 31 642 2369 1151 1 78 488 233 2 568 4 4394 678 9 2 144 8042 184	5
3 393 30 2785 1 1294 11 16 7 21 2 199 1015 207 3 1781 4 102 0 207 7 2 25 24 10 2 4292 9 749 555 943 546 1 1085 1056 9 246 220 9 1229 1056 391 19 4 49 1523 10 2 4292 8 7 33 1626 13 369 1262 16 207 61 2860	3
1020 72 16 207 19 62 2 2013 9 6260 14 6 40 434 13 0 1323 120 1047 87 187 504 10 2832 1273 93 73 874 388 57 3055 291 87 11 149 32 711 136 2228 18 0 1239 38 28 1569 41 5 2 250 231 18 170 556 1701 26 46 207 15 619 4 413 37 11 59 181 1569 311 961 880 2832 10 8692 376 51 36 3044 3308 290 16 6 92 1845 291 87 1944 39 8746 38 46 2028 386 4 5247 0 1162 157 111 671 4 435 0 78 207 308 84 4 1375 2 5456 9 37 463 93 3389 38 28 1569 41 5 0 698 9256 2258 0 1239 67 1158 782 4322 330 3 1512 11 0 1239 1521 3473 698 3897 18 0 267 157 250 231 18 0 4280 26 46 207 3467 4 156 8 219 19 3473 48 18 0 1239 3897 93 140 3389 38 802 28 1569 41 111 505 3 847 8 1217 47 43 5 59 5656 1 8 6 1180 75	2
105 122 131 2 1449 1 521 4 30 572 176 4 0 565 200 4094 40 1663 21 4 955 8 6 8712 3308 290 11 157 3 243 4 30 572 1523 14 0 3110 1752 6 11 16 6 38 11 6 668 902 4 1668 80 3 131 1449 14 93 39 131 193 1752 11 20 479 4 30 2 1411 530 4 407 1523 3 428 8 129 215 67 79 12 327 1696 46 66	2
4666 681 2948 1233 4 1105 0 192 23 40 25 1 0 112 6 40 37 496 13 55 7304 0 422 6 144 1 210 31 10 244 28 338 871 197 214 507 772 18 0 381 28 68 144 1 22 2 382 681 2 2882 54 4338 0 382 6 322 14 0 2882 6 89 3 4186 0 460 112 859 4 2 388 1 251 41 11 17 108 390 5 0 2642 941 42 208 124 237 676 9 116 44 1221 4549	3
4609 9 0 2858 179 39 414 179 0 207 3710 1335 16 611 3 19 111 4276 9 0 3 153 348 732 8 297 35 59 220 9 55 322 4760 3291 26 16 7 59 611 4 49 151 202 1 30 5776 12 223	1
20 404 1003 0 137 98 196 600 236 92 0 6458 1457 8 7 255 169 123 1188 0 137 6458 520 1 1380 34 0 2114 6773 98 46 57 7 33 20 97 2 130 1 135 3 219 19 1186 116 4 107 2 130 47 2 137 1914 427 98 910 660 142 13 137 1914 689 1 1288 8 458 64 3287 5 2802 13 12 4109 9198 1329 44 6 0 116 2681 660 142	3
26 4595 2 568 4 9 52 223 1627 364 236 64 2572 87 4 506 1 0 5 193 547 5 2171 0 276 5877 5 1 7346 867 52 223 23 140 751 3609 236 528 14 123 12 200 857 19 9 0 5 2 74 1622 1 1427 47 12 222 1027 72 3 19 47 0 200 506 1900 870 9 5238 79 36 169 1 60 1934 10 543 4260 10 543 439 2 137 8945 521 4682 620 8152 440 440 440 82 90 4682 506 10 12 3982 3 231 0 209 328 506 194 1 0 5277 506 2308 1 0 284 131 225 168 6 1298 1 289 30 64 4 96 0 710 0 98 7 2 557 240 266 5 2 129 4734 931 13 2 125 370 312 1 2 7846 321 36 2714 1 36 1638 49 1089 96 8 15 39 391 1591 10 72	5
